date,duoarea,value_mmbbl
2020-05-01,R10,48.807
2020-05-01,R20,32.295
2020-05-01,R30,51.582
2020-05-01,R40,4.039
2020-05-01,R50,14.766
2020-05-08,NUS,155.001
2020-05-08,R10,52.086
2020-05-08,R20,34.125
2020-05-08,R30,50.509
2020-05-08,R40,4.288
2020-05-08,R50,13.993
2020-05-15,NUS,158.832
2020-05-15,R10,53.975
2020-05-15,R20,35.682
2020-05-15,R30,50.967
2020-05-15,R40,4.304
2020-05-15,R50,13.904
2020-05-22,NUS,164.327
2020-05-22,R10,57.868
2020-05-22,R20,35.675
2020-05-22,R30,52.492
2020-05-22,R40,4.271
2020-05-22,R50,14.021
2020-05-29,NUS,174.261
2020-05-29,R10,62.191
2020-05-29,R20,37.932
2020-05-29,R30,55.281
2020-05-29,R40,4.252
2020-05-29,R50,14.605
2020-06-05,NUS,175.829
2020-06-05,R10,65.232
2020-06-05,R20,37.139
2020-06-05,R30,54.641
2020-06-05,R40,4.238
2020-06-05,R50,14.58
2020-06-12,NUS,174.471
2020-06-12,R10,65.672
2020-06-12,R20,35.576
2020-06-12,R30,54.575
2020-06-12,R40,4.294
2020-06-12,R50,14.355
2020-06-19,NUS,174.72
2020-06-19,R10,66.401
2020-06-19,R20,33.863
2020-06-19,R30,56.653
2020-06-19,R40,4.195
2020-06-19,R50,13.607
2020-06-26,NUS,174.127
2020-06-26,R10,66.422
2020-06-26,R20,33.512
2020-06-26,R30,56.342
2020-06-26,R40,4.165
2020-06-26,R50,13.686
2020-07-03,NUS,177.262
2020-07-03,R10,66.813
2020-07-03,R20,34.129
2020-07-03,R30,58.435
2020-07-03,R40,4.425
2020-07-03,R50,13.461
2020-07-10,NUS,176.809
2020-07-10,R10,66.035
2020-07-10,R20,34.064
2020-07-10,R30,58.633
2020-07-10,R40,4.311
2020-07-10,R50,13.766
2020-07-17,NUS,177.883
2020-07-17,R10,65.537
2020-07-17,R20,34.029
2020-07-17,R30,60.995
2020-07-17,R40,4.006
2020-07-17,R50,13.316
2020-07-24,NUS,178.386
2020-07-24,R10,66.239
2020-07-24,R20,34.07
2020-07-24,R30,60.303
2020-07-24,R40,3.878
2020-07-24,R50,13.896
2020-07-31,NUS,179.977
2020-07-31,R10,66.249
2020-07-31,R20,34.873
2020-07-31,R30,61.842
2020-07-31,R40,3.847
2020-07-31,R50,13.166
2020-08-07,NUS,177.655
2020-08-07,R10,65.863
2020-08-07,R20,34.843
2020-08-07,R30,60.301
2020-08-07,R40,3.928
2020-08-07,R50,12.72
2020-08-14,NUS,177.807
2020-08-14,R10,65.732
2020-08-14,R20,34.625
2020-08-14,R30,60.888
2020-08-14,R40,4.111
2020-08-14,R50,12.451
2020-08-21,NUS,179.195
2020-08-21,R10,64.961
2020-08-21,R20,34.395
2020-08-21,R30,62.396
2020-08-21,R40,4.012
2020-08-21,R50,13.432
2020-08-28,NUS,177.52
2020-08-28,R10,64.773
2020-08-28,R20,34.189
2020-08-28,R30,61.988
2020-08-28,R40,4.018
2020-08-28,R50,12.551
2020-09-04,NUS,175.845
2020-09-04,R10,64.723
2020-09-04,R20,34.853
2020-09-04,R30,59.689
2020-09-04,R40,3.948
2020-09-04,R50,12.631
2020-09-11,NUS,179.306
2020-09-11,R10,65.365
2020-09-11,R20,34.61
2020-09-11,R30,61.529
2020-09-11,R40,4.345
2020-09-11,R50,13.457
2020-09-18,NUS,175.942
2020-09-18,R10,63.753
2020-09-18,R20,33.409
2020-09-18,R30,61.523
2020-09-18,R40,4.15
2020-09-18,R50,13.108
2020-09-25,NUS,172.758
2020-09-25,R10,62.854
2020-09-25,R20,32.795
2020-09-25,R30,60.271
2020-09-25,R40,4.11
2020-09-25,R50,12.728
2020-10-02,NUS,171.796
2020-10-02,R10,62.926
2020-10-02,R20,31.896
2020-10-02,R30,60.014
2020-10-02,R40,4.066
2020-10-02,R50,12.894
2020-10-09,NUS,164.551
2020-10-09,R10,63.145
2020-10-09,R20,30.011
2020-10-09,R30,54.501
2020-10-09,R40,3.727
2020-10-09,R50,13.167
2020-10-16,NUS,160.719
2020-10-16,R10,60.62
2020-10-16,R20,28.785
2020-10-16,R30,54.509
2020-10-16,R40,3.922
2020-10-16,R50,12.883
2020-10-23,NUS,156.228
2020-10-23,R10,61.088
2020-10-23,R20,28.121
2020-10-23,R30,51.401
2020-10-23,R40,3.384
2020-10-23,R50,12.234
2020-10-30,NUS,154.644
2020-10-30,R10,63.875
2020-10-30,R20,27.245
2020-10-30,R30,48.286
2020-10-30,R40,3.255
2020-10-30,R50,11.983
2020-11-06,NUS,149.289
2020-11-06,R10,61.604
2020-11-06,R20,26.028
2020-11-06,R30,47.258
2020-11-06,R40,2.909
2020-11-06,R50,11.49
2020-11-13,NUS,144.073
2020-11-13,R10,59.774
2020-11-13,R20,24.749
2020-11-13,R30,45.116
2020-11-13,R40,3.08
2020-11-13,R50,11.353
2020-11-20,NUS,142.632
2020-11-20,R10,57.682
2020-11-20,R20,24.003
2020-11-20,R30,46.273
2020-11-20,R40,3.346
2020-11-20,R50,11.328
2020-11-27,NUS,145.87
2020-11-27,R10,57.624
2020-11-27,R20,24.949
2020-11-27,R30,48.017
2020-11-27,R40,3.541
2020-11-27,R50,11.739
2020-12-04,NUS,151.092
2020-12-04,R10,60.38
2020-12-04,R20,24.845
2020-12-04,R30,49.742
2020-12-04,R40,3.945
2020-12-04,R50,12.181
2020-12-11,NUS,151.259
2020-12-11,R10,60.938
2020-12-11,R20,24.141
2020-12-11,R30,49.75
2020-12-11,R40,3.767
2020-12-11,R50,12.663
2020-12-18,NUS,148.934
2020-12-18,R10,59.32
2020-12-18,R20,23.578
2020-12-18,R30,49.582
2020-12-18,R40,3.563
2020-12-18,R50,12.89
2020-12-25,NUS,152.029
2020-12-25,R10,61.14
2020-12-25,R20,24.912
2020-12-25,R30,48.689
2020-12-25,R40,3.803
2020-12-25,R50,13.485
2021-01-01,NUS,158.419
2021-01-01,R10,61.12
2021-01-01,R20,27.343
2021-01-01,R30,51.145
2021-01-01,R40,3.923
2021-01-01,R50,14.887
2021-01-08,NUS,163.205
2021-01-08,R10,62.413
2021-01-08,R20,28.953
2021-01-08,R30,52.196
2021-01-08,R40,4.21
2021-01-08,R50,15.433
2021-01-15,NUS,163.662
2021-01-15,R10,60.408
2021-01-15,R20,30.166
2021-01-15,R30,53.827
2021-01-15,R40,4.414
2021-01-15,R50,14.848
2021-01-22,NUS,162.847
2021-01-22,R10,58.622
2021-01-22,R20,29.995
2021-01-22,R30,55.158
2021-01-22,R40,4.172
2021-01-22,R50,14.9
2021-01-29,NUS,162.838
2021-01-29,R10,57.85
2021-01-29,R20,30.12
2021-01-29,R30,56.456
2021-01-29,R40,4.127
2021-01-29,R50,14.284
2021-02-05,NUS,161.106
2021-02-05,R10,55.89
2021-02-05,R20,29.87
2021-02-05,R30,57.167
2021-02-05,R40,4.052
2021-02-05,R50,14.127
2021-02-12,NUS,157.684
2021-02-12,R10,54.313
2021-02-12,R20,29.49
2021-02-12,R30,56.302
2021-02-12,R40,3.907
2021-02-12,R50,13.673
2021-02-19,NUS,152.715
2021-02-19,R10,49.918
2021-02-19,R20,29.15
2021-02-19,R30,55.926
2021-02-19,R40,4.069
2021-02-19,R50,13.651
2021-02-26,NUS,142.996
2021-02-26,R10,50.355
2021-02-26,R20,26.386
2021-02-26,R30,49.009
2021-02-26,R40,3.824
2021-02-26,R50,13.422
2021-03-05,NUS,137.492
2021-03-05,R10,47.168
2021-03-05,R20,25.849
2021-03-05,R30,47.74
2021-03-05,R40,4.075
2021-03-05,R50,12.659
2021-03-12,NUS,137.747
2021-03-12,R10,46.271
2021-03-12,R20,25.783
2021-03-12,R30,48.801
2021-03-12,R40,4.141
2021-03-12,R50,12.751
2021-03-19,NUS,141.553
2021-03-19,R10,46.842
2021-03-19,R20,27.387
2021-03-19,R30,49.911
2021-03-19,R40,3.943
2021-03-19,R50,13.47
2021-03-26,NUS,144.095
2021-03-26,R10,46.548
2021-03-26,R20,28.803
2021-03-26,R30,50.821
2021-03-26,R40,3.858
2021-03-26,R50,14.066
2021-04-02,NUS,145.547
2021-04-02,R10,46.984
2021-04-02,R20,28.896
2021-04-02,R30,51.992
2021-04-02,R40,3.821
2021-04-02,R50,13.853
2021-04-09,NUS,143.464
2021-04-09,R10,46.737
2021-04-09,R20,28.305
2021-04-09,R30,50.919
2021-04-09,R40,3.932
2021-04-09,R50,13.572
2021-04-16,NUS,142.391
2021-04-16,R10,45.159
2021-04-16,R20,27.72
2021-04-16,R30,51.345
2021-04-16,R40,4.098
2021-04-16,R50,14.068
2021-04-23,NUS,139.049
2021-04-23,R10,42.835
2021-04-23,R20,28.383
2021-04-23,R30,50.537
2021-04-23,R40,3.8
2021-04-23,R50,13.495
2021-04-30,NUS,136.153
2021-04-30,R10,41.451
2021-04-30,R20,26.451
2021-04-30,R30,51.259
2021-04-30,R40,3.812
2021-04-30,R50,13.179
2021-05-07,NUS,134.419
2021-05-07,R10,39.752
2021-05-07,R20,27.566
2021-05-07,R30,49.901
2021-05-07,R40,3.878
2021-05-07,R50,13.323
2021-05-14,NUS,132.095
2021-05-14,R10,36.848
2021-05-14,R20,26.666
2021-05-14,R30,51.119
2021-05-14,R40,4.217
2021-05-14,R50,13.246
2021-05-21,NUS,129.082
2021-05-21,R10,35.7
2021-05-21,R20,26.57
2021-05-21,R30,49.803
2021-05-21,R40,4.05
2021-05-21,R50,12.96
2021-05-28,NUS,132.802
2021-05-28,R10,37.176
2021-05-28,R20,28.223
2021-05-28,R30,50.594
2021-05-28,R40,3.669
2021-05-28,R50,13.141
2021-06-04,NUS,137.214
2021-06-04,R10,39.026
2021-06-04,R20,30.036
2021-06-04,R30,50.623
2021-06-04,R40,3.945
2021-06-04,R50,13.585
2021-06-11,NUS,136.191
2021-06-11,R10,40.534
2021-06-11,R20,30.052
2021-06-11,R30,48.309
2021-06-11,R40,3.594
2021-06-11,R50,13.703
2021-06-18,NUS,137.945
2021-06-18,R10,40.401
2021-06-18,R20,31.012
2021-06-18,R30,49.037
2021-06-18,R40,3.483
2021-06-18,R50,14.012
2021-06-25,NUS,137.076
2021-06-25,R10,40.452
2021-06-25,R20,31.082
2021-06-25,R30,48.277
2021-06-25,R40,3.666
2021-06-25,R50,13.599
2021-07-02,NUS,138.692
2021-07-02,R10,40.444
2021-07-02,R20,31.939
2021-07-02,R30,49.643
2021-07-02,R40,3.521
2021-07-02,R50,13.144
2021-07-09,NUS,142.349
2021-07-09,R10,41.283
2021-07-09,R20,33.696
2021-07-09,R30,50.685
2021-07-09,R40,3.596
2021-07-09,R50,13.09
2021-07-16,NUS,141.0
2021-07-16,R10,40.444
2021-07-16,R20,33.177
2021-07-16,R30,51.177
2021-07-16,R40,3.42
2021-07-16,R50,12.781
2021-07-23,NUS,137.912
2021-07-23,R10,39.62
2021-07-23,R20,32.938
2021-07-23,R30,49.441
2021-07-23,R40,3.41
2021-07-23,R50,12.503
2021-07-30,NUS,138.744
2021-07-30,R10,41.716
2021-07-30,R20,32.246
2021-07-30,R30,49.41
2021-07-30,R40,3.671
2021-07-30,R50,11.702
2021-08-06,NUS,140.511
2021-08-06,R10,40.428
2021-08-06,R20,32.212
2021-08-06,R30,52.247
2021-08-06,R40,3.768
2021-08-06,R50,11.856
2021-08-13,NUS,137.814
2021-08-13,R10,41.218
2021-08-13,R20,31.905
2021-08-13,R30,49.373
2021-08-13,R40,3.6
2021-08-13,R50,11.718
2021-08-20,NUS,138.459
2021-08-20,R10,42.063
2021-08-20,R20,31.856
2021-08-20,R30,49.097
2021-08-20,R40,3.543
2021-08-20,R50,11.901
2021-08-27,NUS,136.727
2021-08-27,R10,41.825
2021-08-27,R20,32.372
2021-08-27,R30,47.136
2021-08-27,R40,3.593
2021-08-27,R50,11.802
2021-09-03,NUS,133.586
2021-09-03,R10,41.754
2021-09-03,R20,31.51
2021-09-03,R30,44.717
2021-09-03,R40,3.417
2021-09-03,R50,12.189
2021-09-10,NUS,131.897
2021-09-10,R10,42.7
2021-09-10,R20,32.153
2021-09-10,R30,40.632
2021-09-10,R40,3.617
2021-09-10,R50,12.794
2021-09-17,NUS,129.343
2021-09-17,R10,39.848
2021-09-17,R20,31.231
2021-09-17,R30,42.027
2021-09-17,R40,3.478
2021-09-17,R50,12.759
2021-09-24,NUS,129.727
2021-09-24,R10,39.122
2021-09-24,R20,31.087
2021-09-24,R30,43.013
2021-09-24,R40,3.574
2021-09-24,R50,12.931
2021-10-01,NUS,129.331
2021-10-01,R10,39.351
2021-10-01,R20,30.837
