date,duoarea,value_mmbbl
2021-05-28,R50,47.776
2021-06-04,NUS,474.029
2021-06-04,R10,8.97
2021-06-04,R20,133.272
2021-06-04,R30,258.016
2021-06-04,R40,24.851
2021-06-04,R50,48.919
2021-06-11,NUS,466.674
2021-06-11,R10,8.04
2021-06-11,R20,129.623
2021-06-11,R30,256.259
2021-06-11,R40,25.018
2021-06-11,R50,47.732
2021-06-18,NUS,459.06
2021-06-18,R10,8.407
2021-06-18,R20,127.529
2021-06-18,R30,251.186
2021-06-18,R40,24.76
2021-06-18,R50,47.178
2021-06-25,NUS,452.342
2021-06-25,R10,8.284
2021-06-25,R20,125.122
2021-06-25,R30,246.253
2021-06-25,R40,24.515
2021-06-25,R50,48.169
2021-07-02,NUS,445.476
2021-07-02,R10,8.021
2021-07-02,R20,123.286
2021-07-02,R30,241.844
2021-07-02,R40,23.906
2021-07-02,R50,48.419
2021-07-09,NUS,437.58
2021-07-09,R10,8.583
2021-07-09,R20,121.272
2021-07-09,R30,236.498
2021-07-09,R40,23.93
2021-07-09,R50,47.297
2021-07-16,NUS,439.687
2021-07-16,R10,8.941
2021-07-16,R20,119.041
2021-07-16,R30,238.398
2021-07-16,R40,24.24
2021-07-16,R50,49.068
2021-07-23,NUS,435.598
2021-07-23,R10,9.278
2021-07-23,R20,118.588
2021-07-23,R30,238.618
2021-07-23,R40,23.885
2021-07-23,R50,45.229
2021-07-30,NUS,439.225
2021-07-30,R10,8.829
2021-07-30,R20,118.317
2021-07-30,R30,241.719
2021-07-30,R40,23.733
2021-07-30,R50,46.626
2021-08-06,NUS,438.777
2021-08-06,R10,7.885
2021-08-06,R20,117.055
2021-08-06,R30,242.852
2021-08-06,R40,24.18
2021-08-06,R50,46.805
2021-08-13,NUS,435.544
2021-08-13,R10,8.83
2021-08-13,R20,114.816
2021-08-13,R30,240.99
2021-08-13,R40,24.392
2021-08-13,R50,46.516
2021-08-20,NUS,432.564
2021-08-20,R10,8.156
2021-08-20,R20,114.51
2021-08-20,R30,239.57
2021-08-20,R40,23.326
2021-08-20,R50,47.003
2021-08-27,NUS,425.395
2021-08-27,R10,8.256
2021-08-27,R20,115.114
2021-08-27,R30,230.6
2021-08-27,R40,23.779
2021-08-27,R50,47.646
2021-09-03,NUS,423.867
2021-09-03,R10,8.339
2021-09-03,R20,117.089
2021-09-03,R30,228.007
2021-09-03,R40,23.512
2021-09-03,R50,46.919
2021-09-10,NUS,417.445
2021-09-10,R10,8.143
2021-09-10,R20,113.872
2021-09-10,R30,224.156
2021-09-10,R40,23.389
2021-09-10,R50,47.884
2021-09-17,NUS,413.964
2021-09-17,R10,7.984
2021-09-17,R20,111.138
2021-09-17,R30,223.902
2021-09-17,R40,23.426
2021-09-17,R50,47.514
2021-09-24,NUS,418.542
2021-09-24,R10,8.844
2021-09-24,R20,111.12
2021-09-24,R30,227.77
2021-09-24,R40,23.493
2021-09-24,R50,47.314
2021-10-01,NUS,420.887
2021-10-01,R10,7.858
2021-10-01,R20,113.437
2021-10-01,R30,227.843
2021-10-01,R40,23.055
2021-10-01,R50,48.694
2021-10-08,NUS,426.975
2021-10-08,R10,8.116
2021-10-08,R20,110.712
2021-10-08,R30,236.857
2021-10-08,R40,23.426
2021-10-08,R50,47.864
2021-10-15,NUS,426.544
2021-10-15,R10,8.089
2021-10-15,R20,108.497
2021-10-15,R30,238.768
2021-10-15,R40,23.576
2021-10-15,R50,47.614
2021-10-22,NUS,430.812
2021-10-22,R10,8.199
2021-10-22,R20,105.461
2021-10-22,R30,247.39
2021-10-22,R40,23.153
2021-10-22,R50,46.608
2021-10-29,NUS,434.102
2021-10-29,R10,8.403
2021-10-29,R20,106.523
2021-10-29,R30,249.348
2021-10-29,R40,23.624
2021-10-29,R50,46.205
2021-11-05,NUS,435.104
2021-11-05,R10,8.582
2021-11-05,R20,107.351
2021-11-05,R30,247.45
2021-11-05,R40,23.491
2021-11-05,R50,48.23
2021-11-12,NUS,433.003
2021-11-12,R10,9.645
2021-11-12,R20,109.486
2021-11-12,R30,242.578
2021-11-12,R40,23.74
2021-11-12,R50,47.554
2021-11-19,NUS,434.02
2021-11-19,R10,8.867
2021-11-19,R20,110.796
2021-11-19,R30,239.96
2021-11-19,R40,23.795
2021-11-19,R50,50.602
2021-11-26,NUS,433.111
2021-11-26,R10,9.064
2021-11-26,R20,113.292
2021-11-26,R30,237.154
2021-11-26,R40,23.563
2021-11-26,R50,50.038
2021-12-03,NUS,432.87
2021-12-03,R10,7.836
2021-12-03,R20,114.416
2021-12-03,R30,237.947
2021-12-03,R40,23.907
2021-12-03,R50,48.765
2021-12-10,NUS,428.286
2021-12-10,R10,7.908
2021-12-10,R20,113.659
2021-12-10,R30,234.144
2021-12-10,R40,24.114
2021-12-10,R50,48.461
2021-12-17,NUS,423.571
2021-12-17,R10,7.62
2021-12-17,R20,113.875
2021-12-17,R30,230.836
2021-12-17,R40,24.4
2021-12-17,R50,46.841
2021-12-24,NUS,419.995
2021-12-24,R10,8.189
2021-12-24,R20,114.989
2021-12-24,R30,226.538
2021-12-24,R40,24.119
2021-12-24,R50,46.16
2021-12-31,NUS,417.851
2021-12-31,R10,8.405
2021-12-31,R20,117.242
2021-12-31,R30,223.066
2021-12-31,R40,23.835
2021-12-31,R50,45.303
2022-01-07,NUS,413.298
2022-01-07,R10,7.385
2022-01-07,R20,114.299
2022-01-07,R30,220.327
2022-01-07,R40,23.223
2022-01-07,R50,48.064
2022-01-14,NUS,413.813
2022-01-14,R10,6.724
2022-01-14,R20,113.72
2022-01-14,R30,222.516
2022-01-14,R40,23.252
2022-01-14,R50,47.601
2022-01-21,NUS,416.19
2022-01-21,R10,6.893
2022-01-21,R20,112.288
2022-01-21,R30,224.872
2022-01-21,R40,23.184
2022-01-21,R50,48.953
2022-01-28,NUS,415.143
2022-01-28,R10,8.141
2022-01-28,R20,111.495
2022-01-28,R30,222.172
2022-01-28,R40,23.425
2022-01-28,R50,49.91
2022-02-04,NUS,410.387
2022-02-04,R10,7.378
2022-02-04,R20,108.701
2022-02-04,R30,220.652
2022-02-04,R40,23.452
2022-02-04,R50,50.203
2022-02-11,NUS,411.508
2022-02-11,R10,7.226
2022-02-11,R20,105.839
2022-02-11,R30,224.809
2022-02-11,R40,23.646
2022-02-11,R50,49.987
2022-02-18,NUS,416.022
2022-02-18,R10,8.298
2022-02-18,R20,103.245
2022-02-18,R30,229.772
